weeks	Mon	Tue	Wed	Thu	Fri	Sat	Sun
001	0.67	0.47	0.62	0.56	0.68	0.45	0.51
002	0.50	0.73	0.58	0.29	0.56	0.75	0.42
003	0.48	0.53	0.38	0.27	0.43	0.38	0.27
004	0.71	0.54	0.32	0.62	0.26	0.60	0.53
005	0.40	0.47	0.57	0.74	0.38	0.75	0.65
006	0.41	0.74	0.70	0.26	0.59	0.35	0.42
007	0.27	0.53	0.63	0.33	0.31	0.63	0.37
008	0.34	0.34	0.68	0.30	0.44	0.33	0.26
009	0.55	0.74	0.41	0.69	0.66	0.50	0.54
010	0.67	0.60	0.60	0.63	0.38	0.31	0.73
011	0.59	0.64	0.44	0.45	0.42	0.43	0.41
012	0.47	0.47	0.53	0.29	0.39	0.26	0.52
013	0.32	0.49	0.59	0.29	0.53	0.72	0.41
014	0.31	0.44	0.49	0.47	0.33	0.60	0.42
015	0.57	0.60	0.28	0.60	0.62	0.55	0.29
016	0.39	0.41	0.40	0.39	0.32	0.30	0.65
017	0.52	0.52	0.58	0.26	0.44	0.59	0.73
018	0.57	0.73	0.57	0.44	0.57	0.72	0.41
019	0.28	0.68	0.73	0.72	0.66	0.68	0.70
020	0.36	0.38	0.28	0.38	0.63	0.47	0.52
021	0.74	0.49	0.47	0.71	0.63	0.27	0.27
022	0.56	0.70	0.31	0.43	0.52	0.41	0.51
023	0.65	0.33	0.36	0.71	0.55	0.55	0.64
024	0.64	0.26	0.69	0.31	0.51	0.51	0.40
025	0.76	0.49	0.30	0.44	0.47	0.70	0.44
026	0.56	0.30	0.58	0.50	0.62	0.50	0.46
027	0.29	0.70	0.70	0.69	0.36	0.33	0.75
028	0.55	0.28	0.39	0.35	0.46	0.31	0.46
029	0.39	0.59	0.51	0.59	0.52	0.69	0.32
030	0.47	0.54	0.60	0.60	0.74	0.34	0.27
031	0.33	0.66	0.55	0.41	0.49	0.30	0.26
032	0.40	0.71	0.32	0.57	0.59	0.45	0.61
033	0.37	0.32	0.73	0.74	0.61	0.33	0.70
034	0.32	0.60	0.33	0.74	0.33	0.50	0.72
035	0.33	0.59	0.64	0.41	0.64	0.65	0.32
036	0.37	0.52	0.33	0.26	0.37	0.38	0.24
037	0.36	0.64	0.55	0.71	0.76	0.31	0.73
038	0.58	0.55	0.54	0.61	0.51	0.59	0.28
039	0.59	0.52	0.40	0.40	0.42	0.63	0.55
040	0.39	0.74	0.24	0.75	0.56	0.69	0.39
041	0.31	0.73	0.31	0.57	0.33	0.56	0.59
