num	date	dow	value
1	2024-08-01	木曜日	0.67
2	2024-08-02	金曜日	0.47
3	2024-08-03	土曜日	0.62
4	2024-08-04	日曜日	0.56
5	2024-08-05	月曜日	0.68
6	2024-08-06	火曜日	0.45
7	2024-08-07	水曜日	0.51
8	2024-08-08	木曜日	0.50
9	2024-08-09	金曜日	0.73
10	2024-08-10	土曜日	0.58
11	2024-08-11	日曜日	0.29
12	2024-08-12	月曜日	0.56
13	2024-08-13	火曜日	0.75
14	2024-08-14	水曜日	0.42
15	2024-08-15	木曜日	0.48
16	2024-08-16	金曜日	0.53
17	2024-08-17	土曜日	0.38
18	2024-08-18	日曜日	0.27
19	2024-08-19	月曜日	0.43
20	2024-08-20	火曜日	0.38
21	2024-08-21	水曜日	0.27
22	2024-08-22	木曜日	0.71
23	2024-08-23	金曜日	0.54
24	2024-08-24	土曜日	0.32
25	2024-08-25	日曜日	0.62
26	2024-08-26	月曜日	0.26
27	2024-08-27	火曜日	0.60
28	2024-08-28	水曜日	0.53
29	2024-08-29	木曜日	0.40
30	2024-08-30	金曜日	0.47
31	2024-08-31	土曜日	0.57
32	2024-09-01	日曜日	0.74
33	2024-09-02	月曜日	0.38
34	2024-09-03	火曜日	0.75
35	2024-09-04	水曜日	0.65
36	2024-09-05	木曜日	0.41
37	2024-09-06	金曜日	0.74
38	2024-09-07	土曜日	0.70
39	2024-09-08	日曜日	0.26
40	2024-09-09	月曜日	0.59
41	2024-09-10	火曜日	0.35
42	2024-09-11	水曜日	0.42
43	2024-09-12	木曜日	0.27
44	2024-09-13	金曜日	0.53
45	2024-09-14	土曜日	0.63
46	2024-09-15	日曜日	0.33
47	2024-09-16	月曜日	0.31
48	2024-09-17	火曜日	0.63
49	2024-09-18	水曜日	0.37
50	2024-09-19	木曜日	0.34
51	2024-09-20	金曜日	0.34
52	2024-09-21	土曜日	0.68
53	2024-09-22	日曜日	0.30
54	2024-09-23	月曜日	0.44
55	2024-09-24	火曜日	0.33
56	2024-09-25	水曜日	0.26
57	2024-09-26	木曜日	0.55
58	2024-09-27	金曜日	0.74
59	2024-09-28	土曜日	0.41
60	2024-09-29	日曜日	0.69
61	2024-09-30	月曜日	0.66
62	2024-10-01	火曜日	0.50
63	2024-10-02	水曜日	0.54
64	2024-10-03	木曜日	0.67
65	2024-10-04	金曜日	0.60
66	2024-10-05	土曜日	0.60
67	2024-10-06	日曜日	0.63
68	2024-10-07	月曜日	0.38
69	2024-10-08	火曜日	0.31
70	2024-10-09	水曜日	0.73
71	2024-10-10	木曜日	0.59
72	2024-10-11	金曜日	0.64
73	2024-10-12	土曜日	0.44
74	2024-10-13	日曜日	0.45
75	2024-10-14	月曜日	0.42
76	2024-10-15	火曜日	0.43
77	2024-10-16	水曜日	0.41
78	2024-10-17	木曜日	0.47
79	2024-10-18	金曜日	0.47
80	2024-10-19	土曜日	0.53
81	2024-10-20	日曜日	0.29
82	2024-10-21	月曜日	0.39
83	2024-10-22	火曜日	0.26
84	2024-10-23	水曜日	0.52
85	2024-10-24	木曜日	0.32
86	2024-10-25	金曜日	0.49
87	2024-10-26	土曜日	0.59
88	2024-10-27	日曜日	0.29
89	2024-10-28	月曜日	0.53
90	2024-10-29	火曜日	0.72
91	2024-10-30	水曜日	0.41
92	2024-10-31	木曜日	0.31
93	2024-11-01	金曜日	0.44
94	2024-11-02	土曜日	0.49
95	2024-11-03	日曜日	0.47
96	2024-11-04	月曜日	0.33
97	2024-11-05	火曜日	0.60
98	2024-11-06	水曜日	0.42
99	2024-11-07	木曜日	0.57
100	2024-11-08	金曜日	0.60
101	2024-11-09	土曜日	0.28
102	2024-11-10	日曜日	0.60
103	2024-11-11	月曜日	0.62
104	2024-11-12	火曜日	0.55
105	2024-11-13	水曜日	0.29
106	2024-11-14	木曜日	0.39
107	2024-11-15	金曜日	0.41
108	2024-11-16	土曜日	0.40
109	2024-11-17	日曜日	0.39
110	2024-11-18	月曜日	0.32
111	2024-11-19	火曜日	0.30
112	2024-11-20	水曜日	0.65
113	2024-11-21	木曜日	0.52
114	2024-11-22	金曜日	0.52
115	2024-11-23	土曜日	0.58
116	2024-11-24	日曜日	0.26
117	2024-11-25	月曜日	0.44
118	2024-11-26	火曜日	0.59
119	2024-11-27	水曜日	0.73
120	2024-11-28	木曜日	0.57
121	2024-11-29	金曜日	0.73
122	2024-11-30	土曜日	0.57
123	2024-12-01	日曜日	0.44
124	2024-12-02	月曜日	0.57
125	2024-12-03	火曜日	0.72
126	2024-12-04	水曜日	0.41
127	2024-12-05	木曜日	0.28
128	2024-12-06	金曜日	0.68
129	2024-12-07	土曜日	0.73
130	2024-12-08	日曜日	0.72
131	2024-12-09	月曜日	0.66
132	2024-12-10	火曜日	0.68
133	2024-12-11	水曜日	0.70
134	2024-12-12	木曜日	0.36
135	2024-12-13	金曜日	0.38
136	2024-12-14	土曜日	0.28
137	2024-12-15	日曜日	0.38
