# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアABテスト-自由形式 1
# 20240801-20240804
# ----------------------------------------

	イベント名	page_view	user_engagement	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		56	46	8	110
/Japanese/IDEsquareA.html	2024080109	8	6	1	15
/Japanese/IDEsquareA.html	2024080110	4	2	0	6
/Japanese/IDEsquareA.html	2024080111	1	0	1	2
/Japanese/IDEsquareA.html	2024080112	4	4	0	8
/Japanese/IDEsquareA.html	2024080113	6	6	0	12
/Japanese/IDEsquareA.html	2024080114	1	1	0	2
/Japanese/IDEsquareA.html	2024080115	9	8	0	17
/Japanese/IDEsquareA.html	2024080116	0	2	0	2
/Japanese/IDEsquareA.html	2024080117	1	1	0	2
/Japanese/IDEsquareA.html	2024080122	1	0	0	1
/Japanese/IDEsquareA.html	2024080202	1	1	1	3
/Japanese/IDEsquareA.html	2024080209	3	1	0	4
/Japanese/IDEsquareA.html	2024080211	1	0	0	1
/Japanese/IDEsquareA.html	2024080214	2	2	1	5
/Japanese/IDEsquareA.html	2024080215	2	0	0	2
/Japanese/IDEsquareA.html	2024080216	2	2	1	5
/Japanese/IDEsquareA.html	2024080220	0	1	0	1
/Japanese/IDEsquareA.html	2024080221	2	0	1	3
/Japanese/IDEsquareA.html	2024080222	1	1	0	2
/Japanese/IDEsquareA.html	2024080306	1	0	0	1
/Japanese/IDEsquareA.html	2024080309	1	1	1	3
/Japanese/IDEsquareA.html	2024080409	2	2	1	5
/Japanese/IDEsquareA.html	2024080412	1	3	0	4
/Japanese/IDEsquareA.html	2024080414	2	2	0	4

