# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップA-自由形式 1
# 20240812-20240818
# ----------------------------------------

	イベント名	user_engagement	page_view	scroll	click	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数	イベント数
		54	53	5	1	113
/Japanese/IDEsquareA.html	2024081205	0	1	0	0	1
/Japanese/IDEsquareA.html	2024081206	0	1	0	0	1
/Japanese/IDEsquareA.html	2024081211	1	2	0	0	3
/Japanese/IDEsquareA.html	2024081212	0	1	0	0	1
/Japanese/IDEsquareA.html	2024081220	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081309	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081310	2	2	1	0	5
/Japanese/IDEsquareA.html	2024081311	2	3	0	0	5
/Japanese/IDEsquareA.html	2024081312	5	1	0	0	6
/Japanese/IDEsquareA.html	2024081313	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081314	5	5	0	0	10
/Japanese/IDEsquareA.html	2024081316	2	1	0	0	3
/Japanese/IDEsquareA.html	2024081319	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081323	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081400	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081411	1	2	0	0	3
/Japanese/IDEsquareA.html	2024081413	2	1	0	0	3
/Japanese/IDEsquareA.html	2024081414	2	1	1	0	4
/Japanese/IDEsquareA.html	2024081415	0	1	1	1	3
/Japanese/IDEsquareA.html	2024081416	1	0	0	0	1
/Japanese/IDEsquareA.html	2024081418	0	1	0	0	1
/Japanese/IDEsquareA.html	2024081509	3	3	0	0	6
/Japanese/IDEsquareA.html	2024081510	3	2	0	0	5
/Japanese/IDEsquareA.html	2024081511	0	1	0	0	1
/Japanese/IDEsquareA.html	2024081513	4	4	0	0	8
/Japanese/IDEsquareA.html	2024081515	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081517	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081518	2	1	0	0	3
/Japanese/IDEsquareA.html	2024081519	3	2	1	0	6
/Japanese/IDEsquareA.html	2024081612	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081613	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081614	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081616	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081620	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081710	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081712	1	1	0	0	2
/Japanese/IDEsquareA.html	2024081715	0	1	1	0	2
/Japanese/IDEsquareA.html	2024081809	1	1	0	0	2

