# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップA-自由形式 1
# 20240902-20240908
# ----------------------------------------

	イベント名	page_view	user_engagement	scroll	click	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数	イベント数
		123	117	9	1	250
/Japanese/IDEsquareA.html	2024090210	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090211	1	3	0	0	4
/Japanese/IDEsquareA.html	2024090213	1	0	1	0	2
/Japanese/IDEsquareA.html	2024090214	0	1	0	0	1
/Japanese/IDEsquareA.html	2024090217	1	1	1	0	3
/Japanese/IDEsquareA.html	2024090311	1	1	0	0	2
/Japanese/IDEsquareA.html	2024090313	4	4	1	0	9
/Japanese/IDEsquareA.html	2024090314	1	1	0	0	2
/Japanese/IDEsquareA.html	2024090315	2	2	0	0	4
/Japanese/IDEsquareA.html	2024090316	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090317	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090318	2	2	1	0	5
/Japanese/IDEsquareA.html	2024090321	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090323	3	4	0	0	7
/Japanese/IDEsquareA.html	2024090408	2	0	0	0	2
/Japanese/IDEsquareA.html	2024090411	1	3	0	0	4
/Japanese/IDEsquareA.html	2024090412	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090414	2	1	0	0	3
/Japanese/IDEsquareA.html	2024090415	4	5	0	0	9
/Japanese/IDEsquareA.html	2024090416	1	3	0	0	4
/Japanese/IDEsquareA.html	2024090417	3	2	0	0	5
/Japanese/IDEsquareA.html	2024090418	5	3	0	0	8
/Japanese/IDEsquareA.html	2024090420	3	3	0	0	6
/Japanese/IDEsquareA.html	2024090509	3	2	0	0	5
/Japanese/IDEsquareA.html	2024090510	7	8	0	1	16
/Japanese/IDEsquareA.html	2024090511	2	3	0	0	5
/Japanese/IDEsquareA.html	2024090512	2	1	0	0	3
/Japanese/IDEsquareA.html	2024090513	2	2	0	0	4
/Japanese/IDEsquareA.html	2024090514	6	5	0	0	11
/Japanese/IDEsquareA.html	2024090515	5	5	0	0	10
/Japanese/IDEsquareA.html	2024090516	3	2	0	0	5
/Japanese/IDEsquareA.html	2024090517	2	3	0	0	5
/Japanese/IDEsquareA.html	2024090518	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090519	1	1	0	0	2
/Japanese/IDEsquareA.html	2024090520	2	1	0	0	3
/Japanese/IDEsquareA.html	2024090521	2	2	0	0	4
/Japanese/IDEsquareA.html	2024090522	2	2	0	0	4
/Japanese/IDEsquareA.html	2024090600	0	1	0	0	1
/Japanese/IDEsquareA.html	2024090606	1	2	0	0	3
/Japanese/IDEsquareA.html	2024090609	2	2	1	0	5
/Japanese/IDEsquareA.html	2024090610	5	5	0	0	10
/Japanese/IDEsquareA.html	2024090613	3	4	0	0	7
/Japanese/IDEsquareA.html	2024090614	4	4	0	0	8
/Japanese/IDEsquareA.html	2024090616	2	2	1	0	5
/Japanese/IDEsquareA.html	2024090617	1	1	0	0	2
/Japanese/IDEsquareA.html	2024090618	2	2	0	0	4
/Japanese/IDEsquareA.html	2024090620	0	1	0	0	1
/Japanese/IDEsquareA.html	2024090623	1	2	0	0	3
/Japanese/IDEsquareA.html	2024090700	2	3	0	0	5
/Japanese/IDEsquareA.html	2024090702	1	1	0	0	2
/Japanese/IDEsquareA.html	2024090715	3	2	2	0	7
/Japanese/IDEsquareA.html	2024090716	2	2	0	0	4
/Japanese/IDEsquareA.html	2024090718	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090721	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090800	2	1	1	0	4
/Japanese/IDEsquareA.html	2024090807	5	3	0	0	8
/Japanese/IDEsquareA.html	2024090809	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090816	0	1	0	0	1
/Japanese/IDEsquareA.html	2024090820	1	0	0	0	1
/Japanese/IDEsquareA.html	2024090821	1	2	0	0	3

