# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップA-自由形式 1
# 20240909-20240915
# ----------------------------------------

	イベント名	user_engagement	page_view	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		66	57	10	133
/Japanese/IDEsquareA.html	2024090901	1	1	1	3
/Japanese/IDEsquareA.html	2024090910	3	3	2	8
/Japanese/IDEsquareA.html	2024090912	2	2	1	5
/Japanese/IDEsquareA.html	2024090913	2	3	0	5
/Japanese/IDEsquareA.html	2024090915	1	2	0	3
/Japanese/IDEsquareA.html	2024090916	3	1	1	5
/Japanese/IDEsquareA.html	2024090917	4	2	0	6
/Japanese/IDEsquareA.html	2024090920	0	1	0	1
/Japanese/IDEsquareA.html	2024090922	1	1	1	3
/Japanese/IDEsquareA.html	2024091008	1	1	0	2
/Japanese/IDEsquareA.html	2024091010	1	1	0	2
/Japanese/IDEsquareA.html	2024091011	2	2	0	4
/Japanese/IDEsquareA.html	2024091012	1	1	0	2
/Japanese/IDEsquareA.html	2024091013	2	2	0	4
/Japanese/IDEsquareA.html	2024091014	1	2	0	3
/Japanese/IDEsquareA.html	2024091015	2	1	0	3
/Japanese/IDEsquareA.html	2024091018	3	3	0	6
/Japanese/IDEsquareA.html	2024091100	1	1	0	2
/Japanese/IDEsquareA.html	2024091110	1	1	0	2
/Japanese/IDEsquareA.html	2024091114	1	1	0	2
/Japanese/IDEsquareA.html	2024091116	2	3	1	6
/Japanese/IDEsquareA.html	2024091119	2	1	0	3
/Japanese/IDEsquareA.html	2024091203	1	0	0	1
/Japanese/IDEsquareA.html	2024091209	7	2	0	9
/Japanese/IDEsquareA.html	2024091210	2	2	0	4
/Japanese/IDEsquareA.html	2024091211	1	1	0	2
/Japanese/IDEsquareA.html	2024091215	1	1	0	2
/Japanese/IDEsquareA.html	2024091310	2	1	1	4
/Japanese/IDEsquareA.html	2024091311	2	1	1	4
/Japanese/IDEsquareA.html	2024091312	1	0	0	1
/Japanese/IDEsquareA.html	2024091315	1	1	0	2
/Japanese/IDEsquareA.html	2024091316	2	2	0	4
/Japanese/IDEsquareA.html	2024091317	1	1	0	2
/Japanese/IDEsquareA.html	2024091410	0	1	0	1
/Japanese/IDEsquareA.html	2024091411	1	0	1	2
/Japanese/IDEsquareA.html	2024091412	0	1	0	1
/Japanese/IDEsquareA.html	2024091413	2	2	0	4
/Japanese/IDEsquareA.html	2024091415	1	1	0	2
/Japanese/IDEsquareA.html	2024091416	1	1	0	2
/Japanese/IDEsquareA.html	2024091422	1	1	0	2
/Japanese/IDEsquareA.html	2024091517	0	1	0	1
/Japanese/IDEsquareA.html	2024091518	1	0	0	1
/Japanese/IDEsquareA.html	2024091521	1	1	0	2

