# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップA-自由形式 1
# 20240923-20240929
# ----------------------------------------

	イベント名	page_view	user_engagement	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		26	25	4	55
/Japanese/IDEsquareA.html	2024092315	1	0	1	2
/Japanese/IDEsquareA.html	2024092413	2	2	0	4
/Japanese/IDEsquareA.html	2024092417	3	5	0	8
/Japanese/IDEsquareA.html	2024092509	1	1	0	2
/Japanese/IDEsquareA.html	2024092510	2	1	0	3
/Japanese/IDEsquareA.html	2024092512	1	1	0	2
/Japanese/IDEsquareA.html	2024092513	0	1	1	2
/Japanese/IDEsquareA.html	2024092514	0	1	0	1
/Japanese/IDEsquareA.html	2024092518	1	0	0	1
/Japanese/IDEsquareA.html	2024092609	1	1	0	2
/Japanese/IDEsquareA.html	2024092610	1	0	0	1
/Japanese/IDEsquareA.html	2024092614	1	1	0	2
/Japanese/IDEsquareA.html	2024092616	2	2	1	5
/Japanese/IDEsquareA.html	2024092617	1	1	0	2
/Japanese/IDEsquareA.html	2024092709	4	4	0	8
/Japanese/IDEsquareA.html	2024092710	1	0	0	1
/Japanese/IDEsquareA.html	2024092711	2	1	0	3
/Japanese/IDEsquareA.html	2024092715	1	2	0	3
/Japanese/IDEsquareA.html	2024092716	1	1	1	3

