# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップB-自由形式 1
# 20240805-20240811
# ----------------------------------------

	イベント名	user_engagement	page_view	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		57	55	10	122
/Japanese/IDEsquareB.html	2024080509	1	1	0	2
/Japanese/IDEsquareB.html	2024080511	2	2	2	6
/Japanese/IDEsquareB.html	2024080513	1	2	1	4
/Japanese/IDEsquareB.html	2024080514	0	2	0	2
/Japanese/IDEsquareB.html	2024080515	1	1	0	2
/Japanese/IDEsquareB.html	2024080517	1	0	0	1
/Japanese/IDEsquareB.html	2024080522	2	2	0	4
/Japanese/IDEsquareB.html	2024080523	2	2	0	4
/Japanese/IDEsquareB.html	2024080608	1	1	0	2
/Japanese/IDEsquareB.html	2024080609	1	1	1	3
/Japanese/IDEsquareB.html	2024080613	1	1	0	2
/Japanese/IDEsquareB.html	2024080616	1	1	0	2
/Japanese/IDEsquareB.html	2024080618	1	1	0	2
/Japanese/IDEsquareB.html	2024080620	2	2	0	4
/Japanese/IDEsquareB.html	2024080710	0	1	1	2
/Japanese/IDEsquareB.html	2024080711	3	3	1	7
/Japanese/IDEsquareB.html	2024080713	2	2	0	4
/Japanese/IDEsquareB.html	2024080714	1	1	0	2
/Japanese/IDEsquareB.html	2024080715	3	3	0	6
/Japanese/IDEsquareB.html	2024080716	3	2	0	5
/Japanese/IDEsquareB.html	2024080806	1	1	1	3
/Japanese/IDEsquareB.html	2024080816	4	2	0	6
/Japanese/IDEsquareB.html	2024080818	0	1	0	1
/Japanese/IDEsquareB.html	2024080819	0	1	0	1
/Japanese/IDEsquareB.html	2024080820	2	1	0	3
/Japanese/IDEsquareB.html	2024080909	1	1	0	2
/Japanese/IDEsquareB.html	2024080911	1	1	0	2
/Japanese/IDEsquareB.html	2024080914	1	2	1	4
/Japanese/IDEsquareB.html	2024080915	4	2	0	6
/Japanese/IDEsquareB.html	2024080917	1	1	0	2
/Japanese/IDEsquareB.html	2024080918	2	1	1	4
/Japanese/IDEsquareB.html	2024081000	2	1	1	4
/Japanese/IDEsquareB.html	2024081010	1	1	0	2
/Japanese/IDEsquareB.html	2024081021	0	1	0	1
/Japanese/IDEsquareB.html	2024081022	1	0	0	1
/Japanese/IDEsquareB.html	2024081111	3	3	0	6
/Japanese/IDEsquareB.html	2024081112	1	1	0	2
/Japanese/IDEsquareB.html	2024081113	1	1	0	2
/Japanese/IDEsquareB.html	2024081115	2	1	0	3
/Japanese/IDEsquareB.html	2024081121	0	1	0	1

