# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップB-自由形式 1
# 20240819-20240825
# ----------------------------------------

	イベント名	user_engagement	page_view	scroll	click	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数	イベント数
		62	58	14	1	135
/Japanese/IDEsquareB.html	2024081900	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081903	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081910	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081911	4	4	2	0	10
/Japanese/IDEsquareB.html	2024081912	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081913	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081914	3	4	1	0	8
/Japanese/IDEsquareB.html	2024081915	2	1	0	0	3
/Japanese/IDEsquareB.html	2024081916	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081917	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081918	1	0	0	0	1
/Japanese/IDEsquareB.html	2024081919	1	1	0	0	2
/Japanese/IDEsquareB.html	2024081920	0	1	0	0	1
/Japanese/IDEsquareB.html	2024082009	1	1	1	0	3
/Japanese/IDEsquareB.html	2024082010	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082011	0	1	0	0	1
/Japanese/IDEsquareB.html	2024082015	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082017	1	0	0	0	1
/Japanese/IDEsquareB.html	2024082020	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082023	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082109	3	3	3	1	10
/Japanese/IDEsquareB.html	2024082110	7	2	0	0	9
/Japanese/IDEsquareB.html	2024082111	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082112	2	2	0	0	4
/Japanese/IDEsquareB.html	2024082113	2	1	0	0	3
/Japanese/IDEsquareB.html	2024082114	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082115	3	3	2	0	8
/Japanese/IDEsquareB.html	2024082117	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082118	1	1	1	0	3
/Japanese/IDEsquareB.html	2024082209	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082212	0	1	0	0	1
/Japanese/IDEsquareB.html	2024082214	2	1	0	0	3
/Japanese/IDEsquareB.html	2024082216	2	3	1	0	6
/Japanese/IDEsquareB.html	2024082310	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082311	0	1	1	0	2
/Japanese/IDEsquareB.html	2024082312	1	0	0	0	1
/Japanese/IDEsquareB.html	2024082313	3	3	1	0	7
/Japanese/IDEsquareB.html	2024082314	0	1	0	0	1
/Japanese/IDEsquareB.html	2024082316	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082317	2	2	1	0	5
/Japanese/IDEsquareB.html	2024082401	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082410	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082414	1	1	0	0	2
/Japanese/IDEsquareB.html	2024082509	1	1	0	0	2

