# ----------------------------------------
# https://www.ide.go.jp - GA4
# IDEスクエアトップB-自由形式 1
# 20240902-20240908
# ----------------------------------------

	イベント名	page_view	user_engagement	scroll	合計
ページパスとスクリーン クラス	日時（YYYYMMDDHH）	イベント数	イベント数	イベント数	イベント数
		62	54	11	127
/Japanese/IDEsquareB.html	2024090210	3	2	0	5
/Japanese/IDEsquareB.html	2024090212	1	2	0	3
/Japanese/IDEsquareB.html	2024090213	1	1	0	2
/Japanese/IDEsquareB.html	2024090215	2	2	0	4
/Japanese/IDEsquareB.html	2024090216	1	0	1	2
/Japanese/IDEsquareB.html	2024090217	1	2	0	3
/Japanese/IDEsquareB.html	2024090218	2	2	1	5
/Japanese/IDEsquareB.html	2024090221	1	1	0	2
/Japanese/IDEsquareB.html	2024090309	2	2	0	4
/Japanese/IDEsquareB.html	2024090313	1	0	1	2
/Japanese/IDEsquareB.html	2024090318	0	1	0	1
/Japanese/IDEsquareB.html	2024090321	1	1	0	2
/Japanese/IDEsquareB.html	2024090409	2	1	1	4
/Japanese/IDEsquareB.html	2024090414	4	4	2	10
/Japanese/IDEsquareB.html	2024090415	2	2	0	4
/Japanese/IDEsquareB.html	2024090416	5	3	0	8
/Japanese/IDEsquareB.html	2024090508	1	2	1	4
/Japanese/IDEsquareB.html	2024090509	1	1	0	2
/Japanese/IDEsquareB.html	2024090510	1	0	0	1
/Japanese/IDEsquareB.html	2024090511	1	1	0	2
/Japanese/IDEsquareB.html	2024090512	1	1	0	2
/Japanese/IDEsquareB.html	2024090513	3	3	0	6
/Japanese/IDEsquareB.html	2024090514	3	3	0	6
/Japanese/IDEsquareB.html	2024090515	6	6	2	14
/Japanese/IDEsquareB.html	2024090516	3	1	0	4
/Japanese/IDEsquareB.html	2024090517	1	2	0	3
/Japanese/IDEsquareB.html	2024090518	2	0	0	2
/Japanese/IDEsquareB.html	2024090522	1	1	0	2
/Japanese/IDEsquareB.html	2024090609	2	1	1	4
/Japanese/IDEsquareB.html	2024090612	1	2	0	3
/Japanese/IDEsquareB.html	2024090613	2	2	1	5
/Japanese/IDEsquareB.html	2024090615	1	1	0	2
/Japanese/IDEsquareB.html	2024090616	1	1	0	2
/Japanese/IDEsquareB.html	2024090717	1	0	0	1
/Japanese/IDEsquareB.html	2024090722	1	0	0	1

